id,target
300000,0.6079494
300001,0.81539035
300002,0.19262381
300003,0.6402591
300004,0.8899294
300005,0.6001575
300006,0.6555989
300007,0.07842316
300008,0.74467915
300009,0.5238991
300010,0.6205192
300011,0.7650054
300012,0.45805275
300013,0.82214135
300014,0.29197624
300015,0.5112104
300016,0.24177949
300017,0.81039625
300018,0.6200939
300019,0.81772125
300020,0.2990071
300021,0.6957903
300022,0.10887738
300023,0.043609727
300024,0.37765616
300025,0.1314577
300026,0.08244566
300027,0.0975545
300028,0.22080314
300029,0.4501297
300030,0.48411572
300031,0.5666677
300032,0.13035454
300033,0.29514945
300034,0.2944546
300035,0.361654
300036,0.22120424
300037,0.25048268
300038,0.58558244
300039,0.69544727
300040,0.06551323
300041,0.21903305
300042,0.14863746
300043,0.4570232
300044,0.41128066
300045,0.2154277
300046,0.18708222
300047,0.2250906
300048,0.7558641
300049,0.22921172
300050,0.27502048
300051,0.69679606
300052,0.6062118
300053,0.09679786
300054,0.8993123
300055,0.4747841
300056,0.114227526
300057,0.12050458
300058,0.6551908
300059,0.361973
300060,0.29837242
300061,0.6946863
300062,0.6079913
300063,0.9549805
300064,0.10097269
300065,0.7278363
300066,0.3640762
300067,0.51073414
300068,0.68552256
300069,0.8697888
300070,0.67515326
300071,0.76270854
300072,0.4775207
300073,0.40743938
300074,0.5376825
300075,0.2505847
300076,0.6726317
300077,0.32446334
300078,0.34651974
300079,0.3451753
300080,0.09053446
300081,0.30200008
300082,0.95598066
300083,0.29768386
300084,0.29005998
300085,0.1537655
300086,0.33956394
300087,0.10823685
300088,0.32403362
300089,0.18260986
300090,0.4807472
300091,0.37216628
300092,0.3675872
300093,0.28675538
300094,0.6726094
300095,0.65707546
300096,0.43435413
300097,0.5870815
300098,0.12424952
300099,0.101147264
300100,0.070560895
300101,0.78218967
300102,0.31003347
300103,0.21102893
300104,0.79863584
300105,0.43850648
300106,0.48643485
300107,0.5768164
300108,0.3239651
300109,0.18075168
300110,0.2997147
300111,0.053550184
300112,0.26792833
300113,0.66075
300114,0.3591238
300115,0.15384792
300116,0.93806714
300117,0.53343683
300118,0.8289987
300119,0.31276986
300120,0.26791853
300121,0.77651906
300122,0.37783927
300123,0.5606869
300124,0.26298097
300125,0.28235623
300126,0.4777868
300127,0.90682155
300128,0.7375253
300129,0.76907593
300130,0.4616664
300131,0.58592224
300132,0.380294
300133,0.7732184
300134,0.8783793
300135,0.26428387
300136,0.10473154
300137,0.7992567
300138,0.9215959
300139,0.57577807
300140,0.7279623
300141,0.05532286
300142,0.27004197
300143,0.48244062
300144,0.66856307
300145,0.61641854
300146,0.76520693
300147,0.30340168
300148,0.28838784
300149,0.20488323
300150,0.26652676
300151,0.042819966
300152,0.52492636
300153,0.3212259
300154,0.79373205
300155,0.24096164
300156,0.6273683
300157,0.061762903
300158,0.3569673
300159,0.29532543
300160,0.33734912
300161,0.34397745
300162,0.492613
300163,0.24906084
300164,0.8273456
300165,0.35987097
300166,0.03987007
300167,0.15863377
300168,0.359151
300169,0.3632018
300170,0.50629324
300171,0.98326683
300172,0.3134353
300173,0.06691695
300174,0.37815925
300175,0.3177976
300176,0.37555555
300177,0.7448804
300178,0.48893642
300179,0.50760245
300180,0.10377009
300181,0.7672163
300182,0.95480835
300183,0.88772416
300184,0.17386463
300185,0.3128899
300186,0.18412058
300187,0.49095178
300188,0.75899893
300189,0.24504472
300190,0.4591887
300191,0.7442477
300192,0.30992222
300193,0.06253794
300194,0.20240046
300195,0.031192327
300196,0.5774869
300197,0.58123523
300198,0.19560464
300199,0.34701383
300200,0.23394088
300201,0.39223894
300202,0.38146976
300203,0.87315065
300204,0.66896653
300205,0.47095355
300206,0.78731805
300207,0.7076259
300208,0.73976916
300209,0.2822975
300210,0.55222017
300211,0.47417644
300212,0.30454853
300213,0.62603694
300214,0.30886674
300215,0.12700845
300216,0.29283124
300217,0.5475806
300218,0.08241856
300219,0.038842853
300220,0.16412905
300221,0.17990229
300222,0.0636756
300223,0.5205107
300224,0.34159997
300225,0.1563327
300226,0.5076972
300227,0.39332974
300228,0.27615508
300229,0.3498247
300230,0.5966354
300231,0.26596093
300232,0.25461903
300233,0.79430985
300234,0.44503534
300235,0.18587548
300236,0.24645446
300237,0.41833887
300238,0.27875388
300239,0.43618587
300240,0.2759545
300241,0.15333776
300242,0.5782814
300243,0.86621463
300244,0.37642524
300245,0.43836322
300246,0.9437321
300247,0.21499637
300248,0.72753537
300249,0.19433142
300250,0.7564981
300251,0.9289504
300252,0.15758687
300253,0.48132804
300254,0.8849188
300255,0.22965957
300256,0.40205213
300257,0.1819875
300258,0.28350025
300259,0.702941
300260,0.71736276
300261,0.40428227
300262,0.2680625
300263,0.84750843
300264,0.79490244
300265,0.13330784
300266,0.52390224
300267,0.5680932
300268,0.15977202
300269,0.65207
300270,0.8717947
300271,0.1336171
300272,0.74300516
300273,0.21737887
300274,0.95653945
300275,0.2761407
300276,0.47812846
300277,0.8846316
300278,0.19605134
300279,0.44365194
300280,0.27842075
300281,0.08245774
300282,0.4261644
300283,0.12012051
300284,0.57788223
300285,0.67306006
300286,0.15483364
300287,0.1535946
300288,0.755635
300289,0.7035219
300290,0.9171571
300291,0.275356
300292,0.56784505
300293,0.77649474
300294,0.021875365
300295,0.17993182
